"발생일","발생시간","요일","발생지_시군구","사고내용","법정동","사망자수","중상자수","경상자수","부상신고자수","사고유형_대분류","사고유형_중분류","사고유형","가해자법규위반","노면상태_대분류","노면상태","기상상태","도로형태_대분류","도로형태","가해자차종","가해자연령","가해자성별","가해자신체상해정도","피해자차종","피해자연령","피해자성별","피해자신체상해정도","경도","위도"
"2012-11-03","10","토","도봉구","사망","방학동","1","0","0","0","차대차","추돌","진행중 추돌","안전운전 의무 불이행","포장","건조","맑음","단일로","횡단보도부근","화물차","41-50세","남","상해없음","자전거","65세이상","남","사망","127.03924177","37.66276508"
"2012-11-05","00","월","광진구","사망","중곡동","1","1","0","0","차대차","정면충돌","정면충돌","중앙선 침범","포장","젖음/습기","비","단일로","기타단일로","승용차","31-40세","남","상해없음","승용차","51-60세","남","중상","127.07446098","37.56079324"
"2012-11-05","02","월","동작구","사망","동작동","1","0","0","0","차대사람","기타","기타","안전운전 의무 불이행","포장","젖음/습기","비","단일로","기타단일로","승용차","51-60세","남","상해없음","보행자","21-30세","남","사망","126.97451295","37.50485841"
"2012-11-06","01","화","은평구","사망","불광동","1","0","0","0","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","포장","젖음/습기","비","교차로","교차로부근","승용차","31-40세","남","사망","없음","불명","없음","없음","126.91994515","37.62605925"
"2012-11-06","03","화","은평구","사망","대조동","1","0","0","0","차량단독","기타","기타","안전운전 의무 불이행","포장","젖음/습기","비","단일로","기타단일로","이륜차","21-30세","남","사망","없음","불명","없음","없음","126.91828086","37.61567668"
"2012-11-06","19","화","구로구","사망","신도림동","1","0","0","0","차대차","기타","기타","안전운전 의무 불이행","포장","젖음/습기","흐림","교차로","교차로부근","승합차","61-70세","남","상해없음","자전거","12세이하","여","사망","126.88303137","37.50986920"
"2012-11-06","22","화","강북구","사망","수유동","1","0","5","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","횡단보도상","승합차","51-60세","남","상해없음","보행자","51-60세","남","사망","127.02893653","37.64106528"
"2012-11-08","07","목","동대문구","사망","장안동","1","0","0","0","차대차","추돌","주정차중 추돌","안전운전 의무 불이행","포장","건조","흐림","단일로","기타단일로","이륜차","31-40세","남","사망","승용차","41-50세","남","상해없음","127.07690368","37.57333079"
"2012-11-10","18","토","영등포구","사망","영등포동7가","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","횡단보도부근","승합차","41-50세","남","상해없음","보행자","51-60세","여","사망","126.90525389","37.52409835"
"2012-11-11","06","일","관악구","사망","봉천동","1","0","0","0","차량단독","전도전복","전도전복","안전운전 의무 불이행","포장","젖음/습기","비","단일로","기타단일로","화물차","51-60세","남","사망","없음","불명","없음","없음","126.96686843","37.47567424"
"2012-11-14","02","수","금천구","사망","독산동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승용차","31-40세","남","상해없음","보행자","51-60세","남","사망","126.89855604","37.47450799"
"2012-11-14","18","수","강남구","사망","도곡동","1","0","0","0","차대사람","기타","기타","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승합차","31-40세","남","상해없음","보행자","51-60세","남","사망","127.03263995","37.48749013"
"2012-11-14","21","수","구로구","사망","오류동","1","0","0","0","차량단독","주/정차차량 충돌","주/정차차량 충돌","안전거리 미확보","포장","건조","맑음","단일로","기타단일로","승용차","51-60세","남","사망","화물차","불명","기타불명","기타불명","126.83576634","37.48851223"
"2012-11-17","23","토","은평구","사망","갈현동","1","1","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승용차","21-30세","남","중상","보행자","41-50세","남","사망","126.91701495","37.62398075"
"2012-11-18","05","일","강동구","사망","성내동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","기타/불명","기타/불명","화물차","61-70세","남","상해없음","보행자","65세이상","여","사망","127.13686474","37.52944523"
"2012-11-18","20","일","구로구","사망","오류동","1","0","0","0","차대사람","횡단중","횡단중","신호위반","포장","건조","맑음","교차로","교차로내","승합차","51-60세","남","상해없음","보행자","65세이상","여","사망","126.83156600","37.49147202"
"2012-11-18","21","일","동대문구","사망","장안동","1","0","1","0","차대사람","기타","기타","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승용차","51-60세","남","상해없음","보행자","65세이상","여","사망","127.06985370","37.57243100"
"2012-11-20","22","화","노원구","사망","상계동","1","0","0","0","차대차","측면충돌","측면충돌","신호위반","포장","건조","맑음","교차로","교차로내","이륜차","20세이하","남","사망","승합차","51-60세","남","상해없음","127.06053992","37.65417550"
"2012-11-21","00","수","동작구","사망","사당동","1","0","0","0","차량단독","기타","기타","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승용차","21-30세","남","사망","없음","불명","없음","없음","126.97202141","37.48431437"
"2012-11-21","02","수","중구","사망","필동2가","2","1","0","0","차량단독","공작물충돌","공작물충돌","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승용차","51-60세","남","사망","없음","불명","없음","없음","126.99544316","37.55875141"
"2012-11-22","11","목","서초구","사망","원지동","2","9","6","1","차대차","추돌","주정차중 추돌","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","승합차","51-60세","남","상해없음","승용차","51-60세","여","사망","127.06470220","37.43583817"
"2012-11-24","02","토","구로구","사망","구로동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","기타단일로","화물차","41-50세","남","상해없음","보행자","21-30세","남","사망","126.87131971","37.49647645"
"2012-11-24","21","토","성북구","사망","장위동","1","0","0","0","차대사람","횡단중","횡단중","안전운전 의무 불이행","포장","건조","맑음","단일로","횡단보도부근","승용차","21-30세","남","상해없음","보행자","65세이상","여","사망","127.05179530","37.61521377"
"2012-11-26","00","월","강남구","사망","일원동","1","0","0","0","차량단독","기타","기타","안전운전 의무 불이행","포장","젖음/습기","비","교차로","교차로내","화물차","41-50세","남","상해없음","없음","불명","없음","없음","127.08686835","37.49346993"
