"","comic.name","comic.summary","comic.grade"
"235","우주가 되는 방법","두 남자 해변라이프","9.29"
"236","오퍼레이터","창조주에 대적해라!","9.46"
"237","달토끼","달에서 온 무언가","9.30"
"238","호구","호구가 된 타짜","8.70"
"239","어시스턴트입니다","어시스턴트의 일상","9.82"
"240","티레시아스","판타지 순정만화","9.85"
"241","무쇠","악과 선의 이야기.","9.81"
"242","백발의 유성","액션/로맨스판타지","8.94"
"243","우리들만의 싸이커","프리스타일축구만화","7.93"
"244","여기서 한잔할래?","수달의 혼술툰","9.72"
"245","마피아게임에 어서오세요","살인 마피아게임","9.64"
"246","우리 카페 사장님이 이상하다","이상한 카페 알바기","9.93"
"247","슈체나리움 (Szenarium)","하늘섬판타지","8.99"
"248","테일 오브 빌런","동화속악당의 이야기","9.91"
"249","후손들의 이야기","SF","9.88"
"250","신과의 대화","즐거운 이야기","9.76"
"251","마족사제","사제님은 마족?","9.89"
"252","싱글맘맘이야","싱글맘의 생생 실화","9.94"
"253","스물 다섯, 어디로 가야 하죠?","솔직한 우리의 일상","9.86"
"254","안녕 나의 수집","오늘은 뭘 비울까?","9.93"
"255","최악의 구원자","아슬아슬 로맨스","7.91"
"256","Twins Love Story (트윈스 러브 스토리)","쌍둥이의 사랑이야기","9.86"
"257","로마의 법칙","이태리 직장인 늘보","9.92"
"258","스크류 드라이버","아이를 잃은 아버지","9.90"
"259","B연애주의","연애는 선택","9.80"
"260","그릇!","동양편대판타지","9.86"
"261","오늘도 냥냥냥♪","반짝반짝 빛나는","9.87"
"262","목욕탕 신령님!","판타지 시트콤","9.26"
"263","살인여행","코믹스릴러","9.05"
"264","THE 극한가장","네가족의 일상툰","9.79"
"265","카나와 초나의 독일","독일 생존기","9.88"
"266","죽음과 동화","두려움.증오.사랑","9.88"
"267","니나 내나","귀욤뽀작 일상툰","9.85"
"268","귀여움이 죄라면 너는 사형!","귀여우면 유죄입니다","9.88"
"269","도원향","우주경찰서 도원향","9.89"
"270","누루누루 음식만화","음식 탐닉 일상툰","9.92"
"271","교수도 사람이다","교수도 사람입니다","9.78"
"272","숲의 향연","인격이 있는 숲.","9.73"
"273","분신캐리","분신이캐리했다","9.74"
"274","이 세계 마왕님","인간소녀와 괴물마왕","9.84"
"275","황녀의 기사","판타지 드라마","9.89"
"276","잠깐만! 아이돌 좀 하고 갈게","아이돌 판타지","9.76"
"277","러시아-워!","해외창업개그만화","9.91"
"278","깜빡깜빡","반짝이의 일상","9.92"
"279","곰팡남녀","보통의 경계","9.90"
"280","모두의 미아씨","미아씨의 매일매일","9.45"
"281","참을 수 없군","너,화장실로 올래?","8.88"
"282","사람 사람 사람","원트와 사람들","9.63"
"283","저승길잡이","이승과 저승의 경계","9.90"
"284","왕과 그림자와 여자","되풀이되는 관계","9.76"
"285","귀신사양복점인턴생","현대로맨스판타지","9.30"
"286","남사친의 정의","너희 둘 사귀어?","9.75"
"287","존버닥터","섬탈출까지 존버해라","9.75"
"288","렌시","포션사의 이야기","9.93"
"289","허무의 기록","옴니버스 단편선","9.89"
"290","채똘일기","채똘일기","9.61"
"291","너랑 대화 하고싶어!","엉망진창 로맨스","9.55"
"292","대학교 수감기록","이젠 대학교에 수감","9.76"
"293","오늘도 분홍했분홍","일상툰","9.84"
"294","아마도","미스터리 스릴러","9.57"
"295","초능력의 도시","초능력 판타지","9.68"
"296","헨젤과 마녀 그레텔","마녀를 조심해","9.66"
"297","엔피씨(NPC)","NPC가 된 용사","9.42"
"298","월국의 프락세이스","소년과 세계,스피릿","9.63"
"299","어쩌다 햄스터","초보집사와 초보주인","9.74"
"300","김네몽로그","그 김네몽 맞아요!","9.71"
"301","메모리얼","기억을 찾아서","9.72"
"302","월혼","여우인간의 생존사투","9.75"
"303","마이툰","두딸키우는 아재일상","9.67"
"304","30일의 시간여행","완결★★★★★","9.55"
"305","내 어깨 위에 공룡","소녀와 공룡 귀신","9.80"
"306","띵동! 도토리에요","너튜브하는 마법사","9.76"
"307","엘카림이 들어줄게!","SF+판타지 액션.","9.79"
"308","격리구역","기숙사에서 살아남기","9.56"
"309","그리마 콘텐츠","돈벌레 인간 방송","8.63"
"310","호구 도사","동양 판타지","9.77"
"311","대학원 탈출일지","대학원에서 살아남기","9.91"
"312","잘먹는 가","본격 음식예찬툰!","9.82"
"313","악괴를 잡아 너를 지키겠습니다.","여주판 액션 로맨스","9.49"
"314","계단","병이 낫는 계단","9.60"
"315","평양냉면 완전정복","평양냉면 식도락","8.60"
"316","라이즈(RISE)","너의 마력은 루시퍼","9.73"
"317","떴다! 자취생","토깽이의 인생일기","9.44"
"318","1717","17년이 지났다.","9.77"
"319","아오링도쿄","도쿄 시트콤","9.91"
"320","새벽녘 그늘에 피어난","어우러지는","9.68"
"321","간보는 연애","첫사랑 할수있을까?","8.86"
"322","원룸202호","추리 스릴러","8.66"
"323","냠냠일기","오늘은 뭐 먹지","9.89"
"324","실험학교","변형자들의 학교","9.90"
"325","게임이 쳐들어왔다.","게임 속 액션판타지","9.34"
"326","바람따라 물따라","역사인물만화","9.74"
"327","랭커앤랭커","초능력학원물","9.80"
"328","빅타이거","가장 큰 호랑이","9.52"
"329","일찍 자고 일찍 일어나기","아침형 뱀파이어","9.91"
"330","조선 왕실의 신화","유교 신화 이야기","9.79"
"331","우리는 예상치 못하게","그럴 때가 있잖아요","9.89"
"332","정의를 위한 나라","소년모험판타지","9.54"
"333","리드래프트","야구에 만약이있다면","9.83"
"334","숲속의 성","자유연재","9.88"
"335","[GL] 유빈이는 기여운데","본격 여고 로맨스","9.63"
"336","비밀의 정원","오컬트 성장 드라마","9.39"
"337","DJ 카일하우스","세계가 우리 무대!","9.84"
"338","특이점 2045","A.I.로봇VS인간","9.87"
"339","왕과 나","세자는 여인이다.","9.75"
"340","에스테리아","작은 별의 주인","9.81"
"341","나의 카이생활","카이스트 일상툰","9.78"
"342","생산직 툰","생산직 4컷 만화","9.78"
"343","좀비 플래너","좀비 플래너","9.82"
"344","정크이터","쓰레기를 먹어라!","9.74"
"345","절대신의 유희","사후세계 판타지","9.85"
"346","새벽인력","꿈꾸는 일용직","9.77"
"347","런어웨이","초능력자들의 이야기","9.80"
"348","초시공아기!!","기상천외 대행진!!","9.55"
"349","헬스하는 용사님!","헬스하는 용사님","8.97"
"350","미치광이 맥","심부름꾼의 이야기","9.77"
"351","예청","조선 여군 '예청'","9.62"
"352","종이를 주웠다","종이의 성장과 사랑","9.65"
"353","점심을 위하여","대학 점심을 위하여","9.71"
"354","벌레 이야기","킬러와 그녀","9.75"
"355","클로버 신드롬","능력자 학교 이야기","9.60"
"356","천상대전","천상대전","9.87"
"357","옆집에 그녀가 산다","옆집의 특별한그녀!","9.63"
"358","저주라는이름의축복","← 키안 (♂)","9.86"
"359","우당탕탕 휘삐 생존기","n잡러 한국어 선생","9.88"
"360","다람쥐 란란","마이웨이 일상","9.88"
"361","반오십부터 그림일기","평범한 으른일기","9.85"
"362","꽃샘바람","동화의 사랑 이야기","9.54"
"363","돈벌다 만난사이","돈벌다 만난 덕후들","9.79"
"364","광고감독의 발암일기","광고감독의 웃픈일상","9.65"
"365","미친 꽃은 답도 없다","로판 / 자유연재","9.67"
"366","시카 단편선","여러가지 단편들","9.92"
"367","솔의 일기","흔하면서도흔하지않은","9.79"
"368","렌즈빨 홍석순","혹시 내 눈 예뻐?","9.53"
"369","분노의 난임일기","난임 정복 웹툰!","9.78"
"370","드래곤메이커","용키우는만화","9.89"
"371","헤이쟝","고양이 쟝의 일상","9.77"
"372","악마인간","왕따 히어로 액션","8.98"
"373","엑스트라A","신에게 복수한다","9.58"
"374","지새는 밤","잔잔 엉뚱","9.79"
"375","시크릿 하숙집","일상 판타지 시트콤","9.69"
