"","comic.name","comic.summary","comic.grade"
"1010","신의 마녀","자칭마녀와신비한소년","9.87"
"1011","빵뽀시래기","빵집 알바 해봤니?","9.89"
"1012","이런우정","유쾌한 친구들 얘기","9.83"
"1013","쉼터에 살았다","쉼터 생활툰","9.90"
"1014","이매망향 <U+9B51>魅望香","이매인가, 망량인가","9.75"
"1015","청부업자와 소년의 이야기","청부업자와 소년의 잔잔하고 슬픈 이야기","9.89"
"1016","우로보로스","시간여행판타지시대극","9.44"
"1017","미대생 댕댕","미대생의 삶","9.85"
"1018","백의사자","카카오웹툰-백의사자","9.85"
"1019","코스믹 코믹스","태양계 일상","9.89"
"1020","공주님은 알바중","이세계에서 알바중","9.65"
"1021","문러버","달을 쫓는 소년","7.65"
"1022","에밀리 이야기","어딘지 학교가 익숙하지 않은 에밀리의 학교적응 이야기","9.76"
"1023","해동요","동양 판타지 서사극","9.01"
"1024","전기수 VLog","전기수와 인방","7.78"
"1025","결벽증 소녀","입시 미술하는 만화","9.90"
"1026","기프트!","판타지","9.87"
"1027","마음의 온도","마음의 온도","9.85"
"1028","핫차!핫차! 차나무生","차나무 시트콤","9.32"
"1029","여름의 퀄리아","저주에 걸린 소년","9.19"
"1030","냥모나이트","냥이와 여자사람의 동거툰","9.82"
"1031","LIVE 썸&쌈","20대들의 이야기!","9.43"
"1032","나라 구한 전생","나라를 구했습니다.","9.89"
"1033","봉다리","동네농구 이야기","9.61"
"1034","우주수렴법칙","SF 옴니버스","9.76"
"1035","이오타","케이 아이가 만났다","8.86"
"1036","이왕이면 아이돌","왕세자가 아이돌?","9.69"
"1037","Hello Death! [헬로데스]","세상엔신들이너무많아","9.84"
"1038","리얼 김영감 게임","우리 할아버지가?!","9.69"
"1039","은룡여린설","신과 인간의 이야기","9.88"
"1040","진짜 다 이루어줘","나의 행운 찾기?","9.15"
"1041","동거의 법칙","반세기세대차이룸메이트","9.88"
"1042","드리머즈","꿈과 의문의 사건들","9.31"
"1043","학교다녀오겠습니다","군필남고생 이야기","9.43"
"1044","손근손근","수어로 전하는 사랑","8.67"
"1045","시간이 머문 집","정식연재","9.88"
"1046","시바하루 (시바견의 하루)","기숙사  일상물","9.56"
"1047","꼬리잡기","서바이벌게임","9.28"
"1048","바다의 끝에는 언제나 그 아이들이 있었다.","섬에 남은 자매.","9.89"
"1049","다시 만나요","현실이 된 너","9.21"
"1050","개인사생활","죽고 나서야 갖게 된 안정적인 삶","9.63"
"1051","크리비 (Crea.B)","몬스터 액션 판타지","9.76"
"1052","멋도모르는여자","개그+달달=개달달툰","9.82"
"1053","신기한 오늘","초능력을 쓰는 소녀","9.52"
"1054","오롯이 당신을 위한 식탁","아기주부 생존식탁툰","9.77"
"1055","숙천","단 한 번뿐인 생.","9.78"
"1056","달콤포근 베이커리","맛있는 로맨스","9.79"
"1057","별이 내린 여름날","마법과 기적","9.75"
"1058","오십과 오십의 세계","연재중단","9.86"
"1059","모브","2097년 드라마","9.86"
"1060","죽탱이","MMA 종합격투기","8.50"
"1061","오버사이즈러브","우리의차이는17cm","9.71"
"1062","종이비행기를 날리면","첫사랑을 다시 만나러","9.83"
"1063","사랑을,너에게","학원성장물","9.89"
"1064","달과 바다와 관찰자","근미래 여행 모험 SF","9.87"
"1065","꿰인 탄","초특급 우주 놈팽이","9.37"
"1066","멍멍이랑","멍멍","9.90"
"1067","솔로의 연애","연애할 수 있을까~","9.89"
"1068","남겨진 것들의","[설명]","9.72"
"1069","알바생 노미래","가게 파괴 알바생!","9.36"
"1070","그래도 조금 공부되는 만화","황당 수업 진행","9.21"
"1071","기행 공포단편집","공포만화 단편선","9.89"
"1072","비밀곰","비밀의 문을 지켜라","9.11"
"1073","헤어지는 시간","예지몽 로맨스스릴러","9.33"
"1074","신선님과 함께","소녀와 신선","9.88"
"1075","다락방을 찾아서","꿈 속 이야기","9.46"
"1076","드림캡슐(Dream Capsule)","자유연재","9.90"
"1077","메이커","만들기 액션!","9.74"
"1078","라면순대","30대의 웃긴 일상","9.75"
"1079","스페로 스페라","사신 판타지","9.88"
"1080","오늘도 랄라","마이웨이 랄라이야기","9.74"
"1081","옆집에 신이산다","로맨스 판타지","9.72"
"1082","엘레노이 아타락시아","세계를 구하는 소녀","9.87"
"1083","밀지","독살사건의 음모","9.74"
"1084","블러드문","로맨스 판타지","9.74"
"1085","무감각자들","미스터리로맨스","9.63"
"1086","비차의 캘리툰, 첫 단추","스무살, 첫 단추.","9.85"
"1087","동물화실","동물이야기","9.91"
"1088","아버지 이야기","이야기들 개그/일상","9.84"
"1089","젤리빈 하우스","신비의 보석 젤리빈","9.80"
"1090","건곤일척 아랑전","노름꾼길동의이야기","9.58"
"1091","웰캄 투 실버라이프","할머니! 할아버지!","9.90"
"1092","언메이크","에어 아포칼립스","9.26"
"1093","시선의차이","변화하는 고교생활","9.41"
"1094","랜드라이프","상어의 육지 생활","9.89"
"1095","이브의 꿈속친구","꿈에서 만난 친구","9.86"
"1096","별을 삼킨 너에게","반드시 행복해질거야","9.67"
"1097","해피엔딩을 위하여","현대 판타지 로맨스","9.45"
"1098","말랑말랑 생활사","말랑말랑한 생활","9.68"
"1099","괴신","모두 , 괴신이었다","9.85"
"1100","앨리스를 위하여","새로운앨리스이야기","9.87"
"1101","여긴 어디","칭다오 일상툰","9.89"
"1102","드래곤 카이트","드래곤 카이트","9.59"
"1103","별님 아래 귤님","먹방 로맨스!","9.69"
"1104","안녕, 나의 길고양이","길고양이와 공대생","9.84"
"1105","-","중단","9.89"
"1106","배럴","본격 다트웹툰","9.51"
"1107","아베 마리아","시합의 숨겨진 진실","9.87"
"1108","모던 던전 판타지아","현대풍 던전판타지.","9.83"
"1109","라스가에!","판타지 시트콤!","9.89"
"1110","너에게 말하지 못한 얘기","몽환판타지.","9.85"
"1111","내게 거짓말을 해봐","내게 거짓말을 해봐","8.68"
"1112","냐아! 미술학원","입시미술하는 만화","9.62"
"1113","도니월드","카툰초보 아저씨의 좌충우돌 일상기","8.24"
"1114","철의 낙원","피와 철의 액션.","9.05"
"1115","바(Bar)","성장 드라마","9.87"
"1116","순진한 로웰씨","병맛직딩일상툰","9.85"
"1117","이제 오냥?","순살 크런키 치킨과 가족들의 이야기","9.85"
"1118","자각몽","자각몽을 꾸는 소녀","9.89"
"1119","2015 범죄스릴러 에스","과거에 있었던 연쇄살인사건.. 막아야만한다.","9.65"
"1120","조국이 당신을 원한다","오작교에 입대했다.","9.89"
"1121","3번째 도막","개그 일상 이야기","9.86"
"1122","환상법사","악당이 평범해졌다","9.47"
"1123","시월의 로맨스","스타와 기자의 연애","9.17"
"1124","널 마주할 용기눈","눈 맞춰도 될까?","9.15"
"1125","반연(絆緣)","토요일 저녁에만나요","9.90"
"1126","전기수","한국전통괴물 퇴마","9.87"
"1127","바다다람지 육지상어","귀염뽀짝현실연애","9.10"
"1128","스투피즈","새내기 일상툰","9.89"
"1129","체리블로섬","너를 만나고 싶어","9.89"
"1130","시간의 뒷면","위험한 시간여행","9.52"
"1131","휘슬링","사랑의 신 에로스","9.53"
"1132","오픈했어요 <매직컬 마카롱>","마카롱가게에서~","9.90"
"1133","왕후의 제국","고구려의 우씨 왕후","9.84"
"1134","충충의 하루","충충의 하루","9.66"
"1135","긁적긁적","취준생과 길냥이","9.42"
"1136","모서리에서","진진이와 친구들","9.31"
"1137","Tilly the spiky hands","뾰족뾰족 포크가족","9.88"
"1138","오늘 하루도 말랑멜랑","웃픈 우울증 이야기","9.88"
"1139","내 이름을 불러줘","인생을 바꿀 기회!","9.70"
"1140","빌런스쿨","슈퍼빌런 학원물","9.79"
"1141","급식이조아","리얼 급식 성장기","8.81"
"1142","여우비 전설","10대 로맨스판타지","8.92"
"1143","잉여특공대","고딩-슈퍼히어로맨스","9.87"
"1144","뷰티풀 선샤인","추억속의따뜻한이야기","9.06"
"1145","지금은 여관주인!!","판타지속 여관이야기","9.90"
"1146","범이올시다!","방실의 범집사 일기","9.89"
"1147","피노키오의 소녀","수상한 마을의 비밀","9.73"
"1148","HAVE A NICE DAY","일상을 그린 이야기","9.77"
"1149","야옹방범대","출동 엘리트 고양이","9.90"
"1150","익숙한 땅콩들","소소한 청춘","9.84"
"1151","하늘연달 연정","인어X장군사극로맨스","9.19"
"1152","현세이의 보이는 라디오","현세이입니다!","9.89"
"1153","스쿨워터","학교물","9.81"
"1154","EQ","미스터리 공감로맨스","9.77"
"1155","향기방기 연애일기","엉뚱발랄 연애일기","9.65"
"1156","술타는청춘","청춘들의 개그 일상","9.68"
"1157","파차마마의 마법","위험천만 남미여행기","9.88"
"1158","우리들의 구미호","한국요괴 이야기","9.71"
"1159","가짜 좀비왕 4컷","가짜좀비왕의 일상","8.76"
"1160","비밀의 화분","비밀의 꽃?!","9.60"
"1161","魂지킴이","상처받은 영혼에 위로를.....","9.77"
"1162","예쁜인력","노근본 초인노동시장","8.71"
"1163","퇴마부","와플, 우냐","9.82"
"1164","상어 이야기","수영으로 성장하기.","9.43"
"1165","인생사진","타임리프 옴니버스","9.69"
"1166","아마데우스","살인연극의 개막","9.84"
"1167","1시간 30분","비글과 아웃사이더","9.89"
"1168","다르디움","기계와 마법의 세계","9.87"
"1169","고양이로 살고 있습니다","고양이 지식, 일상","9.89"
"1170","영웅 소녀","사랑과 전쟁","9.15"
"1171","개그잡종","개그 단편만화","9.30"
"1172","보이지 않는 사람","본격동거로맨스","9.10"
"1173","헬로도사","도사와 미아망자","9.82"
"1174","나 좀 내버려둬!","용과 여의주 전설","9.68"
"1175","건마왕증","건망증 심한 마왕.","9.71"
"1176","개시","광해군과 김개시의政","9.88"
"1177","키치 꼬치","애증의 미학","8.16"
"1178","케미스트리","댄싱로맨스성장드라마","8.12"
"1179","도화","동양 액션 판타지.","9.85"
"1180","공대생툰","공대생의 일상","9.78"
"1181","스페셜 게스트","순정시대","9.82"
"1182","잊을 수 있을까","미스테리 스릴러","9.55"
"1183","푸므로 달려와","아빠와 딸","8.83"
"1184","평범한 이계의 여고생","차원이동 여고생","9.86"
"1185","달리자, 호주!","본격호주워킹만화","9.78"
"1186","누루쿠타 소녀","알수없는 어떤 소녀","9.86"
"1187","너의 언어","미성숙 대학 로맨스","9.87"
"1188","프리즘","무의식의 색","9.82"
"1189","시인 없이","시인을 위한 기록","9.85"
"1190","설단","옴니버스 공포_설단","9.76"
"1191","바닷속의 춘향","물고기도 사람인데","9.78"
"1192","견우화","부도덕한 도사","9.87"
"1193","스타의 학교생활","학교 관찰 예능쇼","9.76"
"1194","나눠먹는 로맨스","음식&로맨스","9.70"
"1195","오늘은 꼭 고백할 거야!","겉바속촉남의 짝사랑","9.88"
"1196","긩긩이의 평범한 일상","소박하고 따뜻한ㅡ","9.88"
"1197","천진난만 하루","천진이의 일상이야기","9.90"
"1198","투애니스(20's)","레스토랑 드라마","9.52"
"1199","러비스","넌 너대로 빛나!","9.79"
"1200","너를 만나다","어느날 너를 만나다","9.89"
